ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage
Royapuram,1,GEN,"Ponnurangam,p",Dravida Munetra Kazhagam,"1,16,630","74,988",64.30%,935,1.20%
Harbour,2,GEN,"Selvarasan,a",Dravida Munetra Kazhagam,"1,12,040","61,069",54.50%,"11,015",18.00%
Dr. Radhakrishnan Nagar,3,GEN,"Rajasekaran,v",Indian National Congress (I),"1,46,769","91,527",62.40%,"7,188",7.90%
Park Town,4,GEN,"Somu,n.V.N",Dravida Munetra Kazhagam,"1,20,797","68,990",57.10%,"14,898",21.60%
Perambur,5,SC,"Balan,s",Dravida Munetra Kazhagam,"1,48,248","91,400",61.70%,"8,280",9.10%
Purasawalkam,6,GEN,"Anbazhagan,k",Dravida Munetra Kazhagam,"1,69,938","1,01,569",59.80%,"5,708",5.60%
Egmore,7,SC,"Ellayaperumal,l",Indian National Congress (I),"1,17,282","63,041",53.80%,"14,756",23.40%
Anna Nagar,8,GEN,"Karunanidhi,m",Dravida Munetra Kazhagam,"1,69,720","1,05,653",62.30%,699,0.70%
Theagaraya Nagar,9,GEN,"Sourirajan,k",Gandhi Kamraj National Congress,"1,53,113","84,892",55.40%,"6,466",7.60%
Thousand Lights,10,GEN,"Krishnasamy,k.A",All India Anna Dravida Munnetra Kazhagam,"1,41,773","81,628",57.60%,307,0.40%
Chepauk,11,GEN,"Rahman Khan,a",Dravida Munetra Kazhagam,"1,00,569","59,148",58.80%,"9,226",15.60%
Triplicane,12,GEN,"Haja Shareeff,k.S.G",Indian National Congress (I),"1,13,394","64,415",56.80%,"6,878",10.70%
Mylapore,13,GEN,"Kapali, T.K",All India Anna Dravida Munnetra Kazhagam,"1,43,818","83,831",58.30%,"3,316",4.00%
Saidapet,14,GEN,"Purushothaman,d",Dravida Munetra Kazhagam,"1,44,121","85,049",59.00%,"1,697",2.00%
Gummidipundi,15,GEN,"Munirathinam,r.S",All India Anna Dravida Munnetra Kazhagam,"1,27,863","86,905",68.00%,"7,826",9.00%
Ponneri,16,SC,"Chakarapani,r",All India Anna Dravida Munnetra Kazhagam,"1,35,012","84,245",62.40%,"14,918",17.70%
Thiruvottiyur,17,GEN,Kumari Ananthan,Gandhi Kamraj National Congress,"1,53,890","1,03,302",67.10%,"3,458",3.30%
Villivakkam,18,GEN,"Prabakaran,j.C.D",All India Anna Dravida Munnetra Kazhagam,"1,91,966","1,20,815",62.90%,703,0.60%
Alandur,19,GEN,"Abdul Razack,k.M",All India Anna Dravida Munnetra Kazhagam,"1,66,900","1,01,383",60.70%,"5,839",5.80%
Tambaram,20,GEN,Pammal Nallathambi,Dravida Munetra Kazhagam,"1,79,404","1,17,561",65.50%,"6,185",5.30%
Tirupporur,21,SC,"Chockalingam,g",Dravida Munetra Kazhagam,"1,04,235","66,622",63.90%,"2,297",3.40%
Chengalpattu,22,GEN,"Jagadeesan,anoor,p.G",All India Anna Dravida Munnetra Kazhagam,"1,24,925","77,315",61.90%,"5,152",6.70%
Maduranthakam,23,GEN,"Ugamchand,s.D",All India Anna Dravida Munnetra Kazhagam,"1,11,475","84,133",75.50%,"11,809",14.00%
Acharapakkam,24,SC,"Ganesan,c",All India Anna Dravida Munnetra Kazhagam,"1,02,790","71,590",69.60%,119,0.20%
Uthiramerur,25,GEN,"Jagathrakshakan,s",All India Anna Dravida Munnetra Kazhagam,"1,28,261","89,390",69.70%,"1,586",1.80%
Kancheepuram,26,GEN,"Venkatasubramanian,p",All India Anna Dravida Munnetra Kazhagam,"1,30,410","96,439",74.00%,"2,192",2.30%
Sriperumbudur,27,SC,D.Yasodha,Indian National Congress (I),"1,16,937","71,516",61.20%,"6,029",8.40%
Poonamallee,28,GEN,"Rajarathinam, D.",Dravida Munetra Kazhagam,"1,39,060","78,888",56.70%,"11,088",14.10%
Tiruvallur,29,GEN,"Pattabiraman,s",All India Anna Dravida Munnetra Kazhagam,"1,13,728","73,737",64.80%,"5,536",7.50%
Tiruttani,30,GEN,"Shanmugam, R",All India Anna Dravida Munnetra Kazhagam,"1,11,514","73,548",66.00%,"10,091",13.70%
Pallipet,31,GEN,"Narasimhan, P.M",All India Anna Dravida Munnetra Kazhagam,"1,13,473","76,589",67.50%,410,0.50%
Arkonam,32,SC,"Vijayasarathy, M",All India Anna Dravida Munnetra Kazhagam,"1,24,404","75,248",60.50%,921,1.20%
Sholinghur,33,GEN,"Gopal, C",All India Anna Dravida Munnetra Kazhagam,"1,17,710","73,525",62.50%,157,0.20%
Ranipet,34,GEN,Durai Murugan,Dravida Munetra Kazhagam,"1,26,741","83,912",66.20%,"7,254",8.60%
Arcot,35,GEN,"Sethuraman, A M",All India Anna Dravida Munnetra Kazhagam,"1,14,631","75,111",65.50%,"1,940",2.60%
Katpadi,36,GEN,"Poongavanam, N. A",Communist Party Of India,"1,21,387","69,967",57.60%,"5,279",7.50%
Gudiyatham,37,GEN,"Sundaram, K.R",Communist Party Of India (MARXIST),"1,10,942","71,317",64.30%,"9,940",13.90%
Pernambut,38,SC,"Moorthy, G",All India Anna Dravida Munnetra Kazhagam,"1,13,142","67,410",59.60%,"5,335",7.90%
Vaniayambadi,39,GEN,"Kulasekara Pandiyan, N",All India Anna Dravida Munnetra Kazhagam,"1,15,231","73,649",63.90%,"3,674",5.00%
Natrampalli,40,GEN,"Anbazhagan, T",All India Anna Dravida Munnetra Kazhagam,"1,27,218","87,220",68.60%,"6,625",7.60%
Tiruppattur,41,GEN,"Sundaram, B",Dravida Munetra Kazhagam,"1,24,811","79,212",63.50%,"8,104",10.20%
Chengam,42,SC,"Swamikannu, T",All India Anna Dravida Munnetra Kazhagam,"1,02,993","56,773",55.10%,836,1.50%
Thandarambattu,43,GEN,"Venugopal, D",Dravida Munetra Kazhagam,"1,10,889","73,723",66.50%,"21,069",28.60%
Tiruvannamalai,44,GEN,"Narayanasamy, K",Indian National Congress (I),"1,20,155","93,952",78.20%,"18,385",19.60%
Kalasapakkam,45,GEN,"Thiruvengadam, P.S",Dravida Munetra Kazhagam,"1,14,081","83,961",73.60%,"11,951",14.20%
Polur,46,GEN,"Balaraman, L",Indian National Congress (I),"1,11,477","73,891",66.30%,"2,153",2.90%
Anaicut,47,GEN,"Viswanathan,g",All India Anna Dravida Munnetra Kazhagam,"1,12,926","67,386",59.70%,"5,955",8.80%
Vellore,48,GEN,"Devaraj, V.M",Dravida Munetra Kazhagam,"1,36,560","87,595",64.10%,"4,507",5.10%
Arni,49,GEN,"Shanmugam, A. C",All India Anna Dravida Munnetra Kazhagam,"1,17,556","86,392",73.50%,"5,051",5.80%
Cheyyar,50,GEN,Babu Janarthanan,Dravida Munetra Kazhagam,"1,14,683","79,877",69.70%,"8,250",10.30%
Vandavasi,51,SC,"Kuppusami, C",All India Anna Dravida Munnetra Kazhagam,"1,24,733","77,852",62.40%,"2,482",3.20%
Peranamallur,52,GEN,"Venkitesan, P. M",All India Anna Dravida Munnetra Kazhagam,"1,21,318","75,491",62.20%,878,1.20%
Melmalayanur,53,GEN,"Chinnadurai, A",All India Anna Dravida Munnetra Kazhagam,"1,18,992","82,275",69.10%,198,0.20%
Gingee,54,GEN,"Ramchandran, N",Dravida Munetra Kazhagam,"1,24,732","84,975",68.10%,"1,633",1.90%
