ac_name,ac_no,type,winning_cand,party,totelectors,totvotes,poll_percentage,margin,winning_percentage
Royapuram,1,GEN,P. Ponnurangam,Dravida Munetra Kazhagam,"1,41,692","72,868",51.40%,"1,591",2.20%
Harbour,2,GEN,A. Selvarajan,Dravida Munetra Kazhagam,"1,50,577","65,557",43.50%,"5,983",9.10%
Dr. Radhakrishnan Nagar,3,GEN,Isari Velan,All India Anna Dravida Munnetra Kazhagam,"1,78,751","80,748",45.20%,"1,488",1.80%
Park Town,4,GEN,T.S. Nallathambi,Dravida Munetra Kazhagam,"1,45,578","69,199",47.50%,"3,226",4.70%
Perambur,5,SC,S. Balan,Dravida Munetra Kazhagam,"1,84,688","80,705",43.70%,"13,468",16.70%
Purasawalkam,6,GEN,K. Anbazhagan,Dravida Munetra Kazhagam,"2,03,098","91,943",45.30%,"19,069",20.70%
Egmore,7,SC,S.Manimudi,Dravida Munetra Kazhagam,"1,41,812","69,887",49.30%,"7,332",10.50%
Anna Nagar,8,GEN,M. Karunanidhi,Dravida Munetra Kazhagam,"1,78,266","86,717",48.60%,"16,438",19.00%
Theagaraya Nagar,9,GEN,R.E. Chandran Jayapal,Dravida Munetra Kazhagam,"1,80,871","76,185",42.10%,"1,030",1.40%
Thousand Lights,10,GEN,S.J. Sadiq Pasha,Dravida Munetra Kazhagam,"1,67,463","72,284",43.20%,"4,858",6.70%
Chepauk,11,GEN,A. Rahaman Khan,Dravida Munetra Kazhagam,"1,23,253","64,140",52.00%,"6,629",10.30%
Triplicane,12,GEN,M. Aranganathan,Dravida Munetra Kazhagam,"1,32,743","66,440",50.10%,"2,127",3.20%
Mylapore,13,GEN,T.K. Kapali,Dravida Munetra Kazhagam,"1,52,323","77,911",51.10%,"4,906",6.30%
Saidapet,14,GEN,D. Purushothaman,Dravida Munetra Kazhagam,"1,48,319","74,578",50.30%,"5,278",7.10%
Gummidipundi,15,GEN,S. Munirathinam,All India Anna Dravida Munnetra Kazhagam,"1,21,875","77,810",63.80%,"11,267",14.50%
Ponneri,16,SC,S.M. Dorairaj,All India Anna Dravida Munnetra Kazhagam,"1,34,125","75,794",56.50%,"11,272",14.90%
Thiruvottiyur,17,GEN,P. Sigamony,All India Anna Dravida Munnetra Kazhagam,"1,48,299","85,676",57.80%,"2,463",2.90%
Villivakkam,18,GEN,K. Suppu,Dravida Munetra Kazhagam,"1,65,872","92,190",55.60%,"7,898",8.60%
Alandur,19,GEN,Abdul Razack,All India Anna Dravida Munnetra Kazhagam,"1,54,152","83,605",54.20%,"3,849",4.60%
Tambaram,20,GEN,Munu Adhi,All India Anna Dravida Munnetra Kazhagam,"1,57,010","93,097",59.30%,426,0.50%
Tirupporur,21,SC,G. Chokkalingam,Dravida Munetra Kazhagam,"97,060","56,642",58.40%,"2,101",3.70%
Chengalpattu,22,GEN,Jagadeesan Anoor,All India Anna Dravida Munnetra Kazhagam,"1,10,575","68,431",61.90%,"3,870",5.70%
Maduranthakam,23,GEN,C. Arumugam,Dravida Munetra Kazhagam,"1,04,339","75,967",72.80%,"7,332",9.70%
Acharapakkam,24,SC,Ethraj,All India Anna Dravida Munnetra Kazhagam,"98,677","63,099",63.90%,"2,797",4.40%
Uthiramerur,25,GEN,S. Pakkur Subramanyan,All India Anna Dravida Munnetra Kazhagam,"1,16,733","78,553",67.30%,"12,583",16.00%
Kancheepuram,26,GEN,K. Balaji,All India Anna Dravida Munnetra Kazhagam,"1,23,336","89,309",72.40%,"1,947",2.20%
Sriperumbudur,27,SC,N. Krishnan,All India Anna Dravida Munnetra Kazhagam,"1,08,219","68,838",63.60%,"8,137",11.80%
Poonamallee,28,GEN,D. Irajarathanam,Dravida Munetra Kazhagam,"1,43,250","74,148",51.80%,"4,893",6.60%
Tiruvallur,29,GEN,S. Pattabiraman,All India Anna Dravida Munnetra Kazhagam,"1,09,003","68,704",63.00%,"8,302",12.10%
Tiruttani,30,GEN,R. Shanmugham,All India Anna Dravida Munnetra Kazhagam,"1,02,979","67,645",65.70%,"10,316",15.30%
Pallipet,31,GEN,Enkambara Reddy,Indian National Congress,"1,10,571","70,972",64.20%,"4,286",6.00%
Arkonam,32,SC,V.K. Raju,All India Anna Dravida Munnetra Kazhagam,"1,19,208","74,384",62.40%,"7,589",10.20%
